combination_id,replication,arrival_rate,eq_mecanica_capacity,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Triagem_queue_time,Triagem_service_time,Manutencao_Eletrica_queue_time,Manutencao_Eletrica_service_time,Lanternagem_queue_time,Lanternagem_service_time,Manutencao_Mecanica_queue_time,Manutencao_Mecanica_service_time,funcionario_utilization,funcionario_avg_queue,funcionario_max_queue,eq_eletrica_utilization,eq_eletrica_avg_queue,eq_eletrica_max_queue,eq_mecanica_utilization,eq_mecanica_avg_queue,eq_mecanica_max_queue,eq_lantern_utilization,eq_lantern_avg_queue,eq_lantern_max_queue
4,0,2.0,2,2080,40,1042,0.5107843137254902,8.987711195917193,0.0075893628581869335,0.1702008172684684,1.1778881647896686,2.437476087554956,10.245376846842863,4.635587757373277,2.013863145326755,4.076247141195054,0.08642646792842924,0.00026437951920467315,2,0.3238019704546041,0.07657598144102783,4,0.5855372529803803,0.42370413140451013,10,0.6987503740564239,1.2318196784537385,13
4,1,2.0,2,2080,40,1049,0.5142156862745098,8.199199379723293,0.00608810943680844,0.1693160920378006,0.9500435187020414,2.402915337551746,8.802326440411328,4.625963677172285,1.6718312946765654,3.8949225438275636,0.08698456001143128,0.0001907154952094988,2,0.29329701914234546,0.05063492599424989,4,0.5801102550722511,0.35618743824630167,13,0.7070408075145634,1.040037423187079,7
4,2,2.0,2,2080,40,1004,0.492156862745098,11.072471099509825,0.007223445303423925,0.16996216881556903,1.1808817067789095,2.4156920502159855,17.773461247103313,5.422090720680564,2.059683614742606,3.892994055350647,0.0831798002733873,0.00036968728858249845,2,0.3351180638289822,0.08622344609270718,6,0.52827101592117,0.40060830250011364,8,0.7490162660733588,2.1625464687828173,15
4,3,2.0,2,2080,40,1005,0.49264705882352944,10.176471619278448,0.006442715056785395,0.17023359147044798,0.610086222447442,2.232949404557002,15.870922438143475,5.261433255320815,1.709070700785195,3.6872284054009463,0.08420684573482737,0.0004086225511141002,2,0.23861910303599385,0.020695195642057025,3,0.5450472404485014,0.3540899145344816,7,0.7585798034839684,1.9484533244649915,11
4,4,2.0,2,2080,40,967,0.47401960784313724,7.071454229298191,0.010783231973595653,0.17014389659196813,1.0300043037660622,2.4340162264685707,5.245995992252636,4.575098948468681,1.6733791928720447,4.040864394436079,0.08041760824810794,0.0006361118033553606,2,0.30902460914478347,0.051795320573990625,4,0.5381824340182876,0.3036994319701863,8,0.605235376083944,0.4737089001632015,7
5,0,2.0,3,2080,40,1023,0.5014705882352941,8.25366051791323,0.008508160795059908,0.17150139070404466,1.101705415507031,2.5080030593740665,8.720609683200967,4.502529175599459,2.397216138349834,3.796496654235705,0.08635213508564117,0.0005183963159157809,2,0.3523933061316552,0.07456209123656815,4,0.5419018582993083,0.5735533307191228,9,0.6073211360583083,0.9564113402596337,10
5,1,2.0,3,2080,40,954,0.4676470588235294,7.217441788666677,0.007556252425228952,0.1698644491024007,1.4954606461225686,2.616862866382003,6.27450855108591,4.762293667170062,1.1281188996666205,3.678273615809838,0.07964830370019485,0.00014993979034376453,2,0.27194849395734505,0.08243536651953758,5,0.5166445063060936,0.21981123422504997,8,0.6536789611727433,0.6229321693439044,7
5,2,2.0,3,2080,40,1034,0.5068627450980392,12.874199553058405,0.008411647506979964,0.17020241964598445,1.3843908789976624,2.3756892454545384,23.462280039324963,5.500734982489429,1.3358042208406773,3.5920571379606288,0.08671408866360995,0.00024338591415369053,2,0.3225813338190723,0.10874466649011105,5,0.49111239171646026,0.2779543868739624,10,0.8694879500389756,3.2707518179473944,16
5,3,2.0,3,2080,40,992,0.48627450980392156,9.087862911869555,0.006455479506298,0.16953431465811417,1.225075869577421,2.778035305017765,12.107890677136382,4.644360192241454,1.118412822384671,3.6264627714387934,0.0824466414341695,0.00010493682882157578,2,0.32955124696779386,0.05866064171262755,3,0.49775577108885494,0.1969502978951113,6,0.7087906150250297,1.5642900165706102,16
5,4,2.0,3,2080,40,1043,0.5112745098039215,7.400172108541146,0.009575318395212638,0.17008267401292754,1.291099990918346,2.6505675883977178,6.630593599649288,4.420698567303595,1.5028712726634135,3.6948181384384386,0.0870053796956116,0.0005606835358293541,2,0.3378174377369642,0.06969905311138827,4,0.5411424036370731,0.3165621575399845,8,0.6679488381088307,0.7357714114362709,7
6,0,3.0,1,2080,40,1086,0.5323529411764706,8.423108453113763,0.009771054640927678,0.16938551338581948,1.2218647158268459,2.6885395465524073,8.194215693591024,5.056271126677951,2.32531969508361,4.01610451099425,0.08992864921575713,0.000878353106346508,2,0.3742868780494535,0.0754939129486018,4,0.6284246851835653,0.5409697820300949,12,0.7068986983869046,0.8567435593611774,7
6,1,3.0,1,2080,40,1032,0.5058823529411764,10.877597094521558,0.008559386105940182,0.17058264207189197,1.1381733282015944,2.416263198887534,17.703300787469697,5.076995819998638,1.6376361239752155,3.749390424403228,0.08561663826159258,0.000254279534450528,2,0.30913955632825835,0.07563500244720117,4,0.5477489038206003,0.3308133417153729,7,0.7517549926809175,2.28424844797761,13
