combination_id,replication,arrival_rate,num_doctors,num_nurses,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Consultation_queue_time,Consultation_service_time,Pharmacy_queue_time,Pharmacy_service_time,Triage_queue_time,Triage_service_time,nursesT_utilization,nursesT_avg_queue,nursesT_max_queue,doctors_utilization,doctors_avg_queue,doctors_max_queue,nurses_utilization,nurses_avg_queue,nurses_max_queue,pharmacy_utilization,pharmacy_avg_queue,pharmacy_max_queue
9,0,4,3,2,2400,420,498,0.2515151515151515,20.941595086636582,1.72248797197411,9.934031266258762,1.95707124631016,5.0904446017570555,2.172756861731902,2.502325487861708,0.6246767908267845,0.7034368728891559,10,0.5436387800395417,0.06712038679163689,4,0.685843299631153,0.18414560805634383,5,0.6008857313487709,0.627248232199778,12
9,1,4,3,2,2400,420,528,0.26666666666666666,20.37992024937914,2.1072449349367406,9.963962951175537,1.659423208032272,4.904508714541551,2.081948936912541,2.498040687802292,0.6723452958331324,0.7913010231704822,14,0.5907466583618001,0.09908127214216844,4,0.7233294290935356,0.29207961830876034,5,0.5969629293962195,0.49171486162559236,10
9,2,4,3,2,2400,420,436,0.2202020202020202,18.529467999307972,1.067741693477591,10.023630668904975,1.2120943560005308,4.964629756062697,1.5706077244537784,2.507333480735273,0.5615162844241166,0.4881392605185578,12,0.4626749771767152,0.04705705198048626,5,0.5927490121914721,0.11950992411293102,6,0.49809044626831445,0.27535677440621065,10
9,3,4,3,2,2400,420,475,0.2398989898989899,19.785303741462524,1.2408465521514846,10.110689182190026,1.7466118180830297,5.387918969581742,1.746101393265177,2.4863909017611223,0.5983587800183101,0.5224843549821638,10,0.4987691350823116,0.025175825122767784,3,0.6367559460976321,0.10998452715911904,4,0.6039131364207281,0.48271841622135836,12
9,4,4,3,2,2400,420,524,0.26464646464646463,20.605714163038737,1.809143280063194,9.952533322223566,2.2459000404791425,5.255017248268968,1.9748592146659882,2.5019762854088183,0.6632959686026372,0.7115293627620951,8,0.5585139464305184,0.06209775604025614,4,0.695670358930276,0.2091424649715014,5,0.6332825563890232,0.7042605915244823,14
10,0,4,3,3,2400,420,477,0.2409090909090909,18.5235163256869,1.3418662496845206,9.928077878795134,0.8916190431813458,4.7217113681889,1.6455329397851384,2.4975075423108595,0.5954629716526485,0.48490815777911644,10,0.5115775315008283,0.02135904207924465,3,0.6474133896515067,0.12542899912803757,4,0.5255142382088287,0.18786124817212788,8
10,1,4,3,3,2400,420,492,0.24848484848484848,22.23667178933022,2.6638770345935407,9.951750569498111,1.9889227826520364,5.112779610138024,3.0068138380981484,2.4937505887675044,0.614219422477112,1.1506995281121464,16,0.5267056061227837,0.22113739287128992,7,0.6569596956065045,0.3570807305429115,8,0.5835948460108838,0.5995923895234614,20
10,2,4,3,3,2400,420,528,0.26666666666666666,22.989542272702526,2.032703063853321,9.80560488096351,3.4869217975464095,5.085191943910569,2.6629051903821837,2.5061991485451123,0.6655079127925086,1.0511643216240474,18,0.5860312885779096,0.07716793835339332,4,0.7246402401335076,0.2473723722645099,5,0.6323201684571598,1.3479089394929669,22
10,3,4,3,3,2400,420,483,0.24393939393939393,21.008416394543406,1.57055535588733,9.967576390483549,2.275392026736639,5.173526250877787,2.2836541598975235,2.480673818386433,0.6020037064113967,0.7691366414453891,12,0.5231889909783635,0.05308555017718841,3,0.6589164754728366,0.16909208767213338,4,0.5782020010936246,0.7035907617470025,12
10,4,4,3,3,2400,420,531,0.2681818181818182,21.407476630583677,2.623426605947395,9.874732917847668,2.225706991295489,5.240788739089934,2.172218777290573,2.5156610079433865,0.6692953093370289,0.7268720585757641,14,0.5697504699693373,0.18799335205892725,8,0.7017336997730377,0.36179413261716276,9,0.6366834457012952,0.7190975193722632,12
